start_lat,start_lng,end_lat,end_lng,start_station_id,end_station_id,weekday_name,cnt
37.3113,-121.8963,37.3113,-121.8963,425.0,425.0,Sunday,11
37.7976,-122.4235,37.7976,-122.4235,496.0,496.0,Friday,11
37.773,-122.5091,37.773,-122.5091,521.0,521.0,Friday,11
37.8,-122.3985,37.8,-122.3985,8.0,8.0,Sunday,10
37.7915,-122.391,37.7915,-122.391,23.0,23.0,Sunday,10
37.3413,-121.9032,37.3413,-121.9032,291.0,291.0,Sunday,10
37.772,-122.4537,37.773,-122.5091,377.0,521.0,Thursday,10
37.7973,-122.3984,37.7973,-122.3984,11.0,11.0,Monday,10
37.8013,-122.2626,37.8013,-122.2626,186.0,186.0,Sunday,10
37.8087,-122.2699,37.8087,-122.2699,183.0,183.0,Thursday,10
37.7829,-122.3879,37.7829,-122.3879,38.0,38.0,Friday,10
37.8662,-122.2994,37.8662,-122.2994,259.0,259.0,Friday,10
37.8468,-122.2914,37.8468,-122.2914,157.0,157.0,Wednesday,10
37.7864,-122.4049,37.7945,-122.3948,3.0,16.0,Saturday,10
37.8048,-122.4032,37.7759,-122.3932,6.0,81.0,Sunday,10
37.7811,-122.4117,37.7811,-122.4117,44.0,44.0,Saturday,10
37.8026,-122.4363,37.8026,-122.4363,399.0,399.0,Wednesday,10
37.8089,-122.2565,37.8013,-122.2626,196.0,186.0,Tuesday,10
37.7774,-122.4418,37.7774,-122.4418,52.0,52.0,Sunday,10
37.7723,-122.39299999999999,37.7723,-122.39299999999999,92.0,92.0,Saturday,10
37.8046,-122.4021,37.8046,-122.4021,462.0,462.0,Monday,10
37.8013,-122.2626,37.8013,-122.2626,186.0,186.0,Wednesday,10
37.7811,-122.4117,37.7766,-122.4174,44.0,58.0,Sunday,10
37.7567,-122.421,37.7567,-122.421,127.0,127.0,Saturday,10
37.772,-122.4537,37.773,-122.5091,377.0,521.0,Monday,10
37.7752,-122.465,37.7752,-122.465,454.0,454.0,Monday,10
37.7641,-122.4674,37.773,-122.5091,451.0,521.0,Sunday,10
37.8048,-122.4032,37.8048,-122.4032,6.0,6.0,Saturday,10
37.7945,-122.3948,37.7945,-122.3948,16.0,16.0,Saturday,10
37.772,-122.4537,37.772,-122.4537,377.0,377.0,Tuesday,10
37.7851,-122.4777,37.7851,-122.4777,515.0,515.0,Sunday,10
37.7825,-122.47200000000001,37.7825,-122.47200000000001,489.0,489.0,Sunday,10
37.8405,-122.2935,37.8405,-122.2935,155.0,155.0,Wednesday,10
37.8405,-122.2935,37.8405,-122.2935,155.0,155.0,Tuesday,10
37.7733,-122.4443,37.773,-122.5091,70.0,521.0,Sunday,10
37.8297,-122.2876,37.8297,-122.2876,148.0,148.0,Friday,10
37.7642,-122.4674,37.7642,-122.4674,451.0,451.0,Friday,10
37.8002,-122.2538,37.8002,-122.2538,200.0,200.0,Friday,10
37.7764,-122.4262,37.7764,-122.4262,74.0,74.0,Sunday,10
37.3711,-121.8813,37.3711,-121.8813,444.0,444.0,Monday,10
37.7752,-122.465,37.7752,-122.465,454.0,454.0,Tuesday,10
37.773,-122.5091,37.7639,-122.4707,521.0,450.0,Saturday,10
37.3711,-121.8813,37.3711,-121.8813,444.0,444.0,Tuesday,10
37.7731,-122.4391,37.7731,-122.4391,71.0,71.0,Monday,10
37.3711,-121.8813,37.3711,-121.8813,444.0,444.0,Wednesday,10
37.8114,-122.2734,37.8114,-122.2734,220.0,220.0,Tuesday,10
37.8005,-122.4109,37.8005,-122.4109,487.0,487.0,Friday,10
37.7759,-122.3932,37.7759,-122.3932,81.0,81.0,Thursday,10
37.7733,-122.4443,37.7733,-122.4443,70.0,70.0,Friday,10
37.7992,-122.4341,37.7992,-122.4341,424.0,424.0,Saturday,10
37.7692,-122.4338,37.7692,-122.4338,84.0,84.0,Saturday,10
37.8087,-122.2699,37.8087,-122.2699,183.0,183.0,Saturday,10
37.7811,-122.4117,37.7864,-122.4049,44.0,3.0,Sunday,10
37.7872,-122.3881,37.7872,-122.3881,28.0,28.0,Saturday,10
37.8087,-122.2699,37.8087,-122.2699,183.0,183.0,Friday,10
37.8002,-122.2538,37.8002,-122.2538,200.0,200.0,Thursday,10
37.8249,-122.2604,37.8249,-122.2604,212.0,212.0,Sunday,9
37.8005,-122.2721,37.8005,-122.2721,162.0,162.0,Monday,9
37.8048,-122.4032,37.8023,-122.4245,6.0,441.0,Sunday,9
37.7724,-122.4356,37.7724,-122.4356,72.0,72.0,Friday,9
37.7964,-122.3946,37.8043,-122.4335,12.0,400.0,Saturday,9
37.8026,-122.4363,37.8043,-122.4335,399.0,400.0,Sunday,9
37.8704,-122.2997,37.8704,-122.2997,257.0,257.0,Saturday,9
37.8127,-122.2688,37.8127,-122.2688,180.0,180.0,Monday,9
37.7733,-122.4712,37.7733,-122.4712,485.0,485.0,Friday,9
37.7774,-122.4418,37.7774,-122.4418,52.0,52.0,Friday,9
37.8048,-122.4032,37.8048,-122.4032,6.0,6.0,Friday,9
37.782,-122.4828,37.782,-122.4828,520.0,520.0,Tuesday,9
37.8088,-122.2497,37.8002,-122.2538,197.0,200.0,Friday,9
37.8013,-122.2626,37.8088,-122.2497,186.0,197.0,Sunday,9
37.8468,-122.2914,37.8468,-122.2914,157.0,157.0,Friday,9
37.7592,-122.4369,37.7592,-122.4369,118.0,118.0,Saturday,9
37.8013,-122.2626,37.8013,-122.2626,186.0,186.0,Monday,9
37.8013,-122.2626,37.8013,-122.2626,186.0,186.0,Friday,9
37.8005,-122.4109,37.8005,-122.4109,487.0,487.0,Saturday,9
37.7713,-122.3866,37.7713,-122.3866,461.0,461.0,Saturday,9
37.3209,-121.8763,37.3209,-121.8763,443.0,443.0,Sunday,9
37.3209,-121.8763,37.3209,-121.8763,443.0,443.0,Saturday,9
37.7731,-122.4391,37.773,-122.5091,71.0,521.0,Sunday,9
37.7954,-122.3942,37.7954,-122.3942,15.0,15.0,Tuesday,9
37.7954,-122.3942,37.7954,-122.3942,15.0,15.0,Sunday,9
37.3711,-121.8813,37.3711,-121.8813,444.0,444.0,Thursday,9
37.3655,-121.868,37.3655,-121.868,442.0,442.0,Saturday,9
37.7767,-122.4079,37.7767,-122.4079,493.0,493.0,Friday,9
37.8267,-122.2718,37.8267,-122.2718,192.0,192.0,Sunday,9
37.8023,-122.4245,37.8023,-122.4245,441.0,441.0,Saturday,9
37.8114,-122.2652,37.8114,-122.2652,181.0,181.0,Saturday,9
37.7259,-122.4524,37.7259,-122.4524,498.0,498.0,Thursday,9
37.7805,-122.3903,37.7805,-122.3903,50.0,50.0,Wednesday,9
37.7658,-122.4576,37.7658,-122.4576,458.0,458.0,Friday,9
37.766999999999996,-122.3908,37.7616,-122.3906,104.0,126.0,Saturday,9
37.7718,-122.4337,37.7718,-122.4337,73.0,73.0,Saturday,9
37.7734,-122.4273,37.7734,-122.4273,56.0,56.0,Sunday,9
37.7639,-122.4707,37.7639,-122.4707,450.0,450.0,Tuesday,9
37.7633,-122.4074,37.7811,-122.4117,336.0,44.0,Sunday,9
37.7952,-122.274,37.7952,-122.274,203.0,203.0,Monday,9
37.8127,-122.2688,37.8127,-122.2688,180.0,180.0,Friday,9
37.7734,-122.4273,37.7734,-122.4273,56.0,56.0,Thursday,9
37.8022,-122.4018,37.8022,-122.4018,500.0,500.0,Sunday,9
37.7723,-122.39299999999999,37.7723,-122.39299999999999,92.0,92.0,Sunday,9
37.7723,-122.39299999999999,37.7723,-122.39299999999999,92.0,92.0,Monday,9
37.7641,-122.4674,37.7641,-122.4674,451.0,451.0,Monday,9
37.7641,-122.4674,37.7641,-122.4674,451.0,451.0,Friday,9
37.7881,-122.3919,37.7881,-122.3919,27.0,27.0,Wednesday,9
37.7973,-122.2653,37.7962,-122.2794,163.0,187.0,Friday,9
37.784,-122.4124,37.784,-122.4124,34.0,34.0,Saturday,9
37.8013,-122.2626,37.8013,-122.2626,186.0,186.0,Thursday,9
37.8089,-122.2565,37.8089,-122.2565,196.0,196.0,Thursday,9
37.8023,-122.4245,37.8026,-122.4363,441.0,399.0,Saturday,9
37.8089,-122.2565,37.8089,-122.2565,196.0,196.0,Wednesday,9
37.3413,-121.9032,37.3413,-121.9032,291.0,291.0,Thursday,9
37.7704,-122.3912,37.7704,-122.3912,93.0,93.0,Saturday,9
37.8123,-122.2608,37.8123,-122.2608,195.0,195.0,Saturday,9
37.8043,-122.4335,37.8043,-122.4335,400.0,400.0,Tuesday,9
37.7806,-122.4029,37.7806,-122.4029,321.0,321.0,Saturday,9
